filename,fwhm_L,fwhm_C,fwhm_R
10.3.png,53.77304042034406,39.50597618300126,111.20174920735424
11.3.png,45.90564221683935,62.025270242740255,83.07186814673635
13.3.png,63.91405133747309,64.65183257098654,62.753137334121135
14.3.png,48.82310612529179,48.56725514136177,125.08088508788411
15.3.png,51.53951029584641,32.94652620967099,74.84956655138903
16.3.png,43.952952865744344,46.16323280381727,44.59397687968599
17.3.png,45.10479684660738,60.361735200260455,48.65242340745912
18.3.png,41.9421502284702,41.35756929953993,46.70649571147115
19.3.png,35.410515573010876,58.949730985870275,46.65188333585715
20.3.png,52.92841569336909,60.74839739810579,65.91411535796937
21.3.png,47.144548199636496,87.15949036059165,55.03545977961773
22.3.png,42.16448777340373,44.18505669510773,51.08110157495004
23.3.png,38.85941883762195,44.63254534855845,45.818691276428716
24.3.png,73.37085982119135,42.944462941819886,112.0232536905002
25.3.png,51.947775896142794,72.43906653523811,51.081918703095056
26.3.png,46.32904578215371,49.40324225676311,47.00911009945729
28.3.png,45.81533577203605,72.87407209777439,49.42374236415549
31.3.png,45.466528063402684,66.67446682161653,49.495089465252434
